,hole,score,round,par,yards,average_score,location,date,temp,wind,rain
0,1,3,1,4,393,3.821,"Las Vegas, NV",2021-10-07,84,13,0.0
1,2,3,1,4,456,3.905,"Las Vegas, NV",2021-10-07,84,13,0.0
2,3,3,1,4,485,4.181,"Las Vegas, NV",2021-10-07,84,13,0.0
3,4,5,1,4,433,3.998,"Las Vegas, NV",2021-10-07,84,13,0.0
4,5,4,1,3,166,3.06,"Las Vegas, NV",2021-10-07,84,13,0.0
5,6,4,1,4,438,4.058,"Las Vegas, NV",2021-10-07,84,13,0.0
6,7,4,1,4,369,3.798,"Las Vegas, NV",2021-10-07,84,13,0.0
7,8,3,1,3,238,3.086,"Las Vegas, NV",2021-10-07,84,13,0.0
8,9,3,1,5,554,4.409,"Las Vegas, NV",2021-10-07,84,13,0.0
9,10,4,1,4,408,3.905,"Las Vegas, NV",2021-10-07,84,13,0.0
10,11,4,1,4,455,3.967,"Las Vegas, NV",2021-10-07,84,13,0.0
11,12,4,1,4,428,3.937,"Las Vegas, NV",2021-10-07,84,13,0.0
12,13,4,1,5,598,4.577,"Las Vegas, NV",2021-10-07,84,13,0.0
13,14,3,1,3,163,2.991,"Las Vegas, NV",2021-10-07,84,13,0.0
14,15,3,1,4,302,3.537,"Las Vegas, NV",2021-10-07,84,13,0.0
15,16,3,1,5,525,4.581,"Las Vegas, NV",2021-10-07,84,13,0.0
16,17,5,1,3,197,3.044,"Las Vegas, NV",2021-10-07,84,13,0.0
17,18,5,1,4,465,4.07,"Las Vegas, NV",2021-10-07,84,13,0.0
18,1,4,2,4,393,3.821,"Las Vegas, NV",2021-10-08,77,22,0.0
19,2,5,2,4,456,3.905,"Las Vegas, NV",2021-10-08,77,22,0.0
20,3,4,2,4,485,4.181,"Las Vegas, NV",2021-10-08,77,22,0.0
21,4,4,2,4,433,3.998,"Las Vegas, NV",2021-10-08,77,22,0.0
22,5,2,2,3,166,3.06,"Las Vegas, NV",2021-10-08,77,22,0.0
23,6,4,2,4,438,4.058,"Las Vegas, NV",2021-10-08,77,22,0.0
24,7,4,2,4,369,3.798,"Las Vegas, NV",2021-10-08,77,22,0.0
25,8,3,2,3,238,3.086,"Las Vegas, NV",2021-10-08,77,22,0.0
26,9,5,2,5,554,4.409,"Las Vegas, NV",2021-10-08,77,22,0.0
27,10,4,2,4,408,3.905,"Las Vegas, NV",2021-10-08,77,22,0.0
28,11,3,2,4,455,3.967,"Las Vegas, NV",2021-10-08,77,22,0.0
29,12,3,2,4,428,3.937,"Las Vegas, NV",2021-10-08,77,22,0.0
