,hole,score,round,par,yards,average_score,location,date,temp,wind,rain
0,1.0,3.0,1.0,4,439,3.907,"Napa, CA",2021-09-16,69,12,0.0
1,2.0,3.0,1.0,3,186,3.197,"Napa, CA",2021-09-16,69,12,0.0
2,3.0,4.0,1.0,4,433,3.991,"Napa, CA",2021-09-16,69,12,0.0
3,4.0,4.0,1.0,4,409,4.135,"Napa, CA",2021-09-16,69,12,0.0
4,5.0,6.0,1.0,5,537,4.573,"Napa, CA",2021-09-16,69,12,0.0
5,6.0,4.0,1.0,4,408,3.94,"Napa, CA",2021-09-16,69,12,0.0
6,7.0,3.0,1.0,3,219,3.086,"Napa, CA",2021-09-16,69,12,0.0
7,8.0,3.0,1.0,4,348,3.982,"Napa, CA",2021-09-16,69,12,0.0
8,9.0,5.0,1.0,5,562,4.752,"Napa, CA",2021-09-16,69,12,0.0
9,10.0,4.0,1.0,4,424,3.909,"Napa, CA",2021-09-16,69,12,0.0
10,11.0,2.0,1.0,3,161,3.035,"Napa, CA",2021-09-16,69,12,0.0
11,12.0,4.0,1.0,4,393,4.038,"Napa, CA",2021-09-16,69,12,0.0
12,13.0,4.0,1.0,4,448,4.155,"Napa, CA",2021-09-16,69,12,0.0
13,14.0,4.0,1.0,4,419,3.954,"Napa, CA",2021-09-16,69,12,0.0
14,15.0,3.0,1.0,3,176,3.15,"Napa, CA",2021-09-16,69,12,0.0
15,16.0,5.0,1.0,5,573,4.577,"Napa, CA",2021-09-16,69,12,0.0
16,17.0,5.0,1.0,4,361,3.973,"Napa, CA",2021-09-16,69,12,0.0
17,18.0,4.0,1.0,5,582,4.692,"Napa, CA",2021-09-16,69,12,0.0
18,1.0,4.0,2.0,4,439,3.907,"Napa, CA",2021-09-17,74,12,0.0
19,2.0,3.0,2.0,3,186,3.197,"Napa, CA",2021-09-17,74,12,0.0
20,3.0,5.0,2.0,4,433,3.991,"Napa, CA",2021-09-17,74,12,0.0
21,4.0,5.0,2.0,4,409,4.135,"Napa, CA",2021-09-17,74,12,0.0
22,5.0,4.0,2.0,5,537,4.573,"Napa, CA",2021-09-17,74,12,0.0
23,6.0,4.0,2.0,4,408,3.94,"Napa, CA",2021-09-17,74,12,0.0
24,7.0,3.0,2.0,3,219,3.086,"Napa, CA",2021-09-17,74,12,0.0
25,8.0,4.0,2.0,4,348,3.982,"Napa, CA",2021-09-17,74,12,0.0
26,9.0,5.0,2.0,5,562,4.752,"Napa, CA",2021-09-17,74,12,0.0
27,10.0,3.0,2.0,4,424,3.909,"Napa, CA",2021-09-17,74,12,0.0
28,11.0,5.0,2.0,3,161,3.035,"Napa, CA",2021-09-17,74,12,0.0
29,12.0,4.0,2.0,4,393,4.038,"Napa, CA",2021-09-17,74,12,0.0
30,13.0,5.0,2.0,4,448,4.155,"Napa, CA",2021-09-17,74,12,0.0
31,14.0,4.0,2.0,4,419,3.954,"Napa, CA",2021-09-17,74,12,0.0
32,15.0,2.0,2.0,3,176,3.15,"Napa, CA",2021-09-17,74,12,0.0
33,16.0,5.0,2.0,5,573,4.577,"Napa, CA",2021-09-17,74,12,0.0
34,17.0,3.0,2.0,4,361,3.973,"Napa, CA",2021-09-17,74,12,0.0
35,18.0,5.0,2.0,5,582,4.692,"Napa, CA",2021-09-17,74,12,0.0
0,1.0,3.0,1.0,4,398,3.91,"Jackson, MS",2021-09-30,83,12,0.1
1,2.0,4.0,1.0,4,422,3.922,"Jackson, MS",2021-09-30,83,12,0.1
2,3.0,4.0,1.0,5,580,4.519,"Jackson, MS",2021-09-30,83,12,0.1
3,4.0,3.0,1.0,3,174,2.943,"Jackson, MS",2021-09-30,83,12,0.1
4,5.0,5.0,1.0,5,604,4.748,"Jackson, MS",2021-09-30,83,12,0.1
5,6.0,3.0,1.0,4,483,4.059,"Jackson, MS",2021-09-30,83,12,0.1
6,7.0,4.0,1.0,3,210,3.028,"Jackson, MS",2021-09-30,83,12,0.1
7,8.0,3.0,1.0,4,384,3.974,"Jackson, MS",2021-09-30,83,12,0.1
8,9.0,4.0,1.0,4,407,3.939,"Jackson, MS",2021-09-30,83,12,0.1
9,10.0,4.0,1.0,3,220,3.083,"Jackson, MS",2021-09-30,83,12,0.1
10,11.0,3.0,1.0,5,536,4.601,"Jackson, MS",2021-09-30,83,12,0.1
11,12.0,4.0,1.0,4,445,4.002,"Jackson, MS",2021-09-30,83,12,0.1
12,13.0,3.0,1.0,3,152,2.835,"Jackson, MS",2021-09-30,83,12,0.1
13,14.0,4.0,1.0,5,572,4.649,"Jackson, MS",2021-09-30,83,12,0.1
14,15.0,4.0,1.0,4,316,3.642,"Jackson, MS",2021-09-30,83,12,0.1
15,16.0,3.0,1.0,4,451,4.163,"Jackson, MS",2021-09-30,83,12,0.1
16,17.0,5.0,1.0,4,424,3.816,"Jackson, MS",2021-09-30,83,12,0.1
17,18.0,3.0,1.0,4,486,4.038,"Jackson, MS",2021-09-30,83,12,0.1
18,1.0,4.0,2.0,4,398,3.91,"Jackson, MS",2021-10-01,85,8,0.0
19,2.0,4.0,2.0,4,422,3.922,"Jackson, MS",2021-10-01,85,8,0.0
20,3.0,4.0,2.0,5,580,4.519,"Jackson, MS",2021-10-01,85,8,0.0
21,4.0,2.0,2.0,3,174,2.943,"Jackson, MS",2021-10-01,85,8,0.0
22,5.0,5.0,2.0,5,604,4.748,"Jackson, MS",2021-10-01,85,8,0.0
23,6.0,4.0,2.0,4,483,4.059,"Jackson, MS",2021-10-01,85,8,0.0
